Name,Year,Rating,Runtime,Votes
Skater Girl,2021,6.6,107,1122
Radhe,2021,1.8,135,162353
Soorarai Pottru,2020,9.1,153,82987
Sandeep Aur Pinky Faraar,2021,6.3,125,6480
The White Tiger,2021,7.1,125,49865
Tumbbad,2018,8.3,104,32899
Haseen Dillruba,2021,,135,
Sardar Ka Grandson,2021,4.1,139,3770
Hotel Mumbai,2018,7.6,123,56042
Koi Jaane Na,2021,3.5,141,512
Andhadhun,2018,8.2,139,77877
Silence: Can You Hear It,2021,6.6,136,3323
Pagglait,2021,7,114,7039
Ludo,2020,7.6,150,32390
Ajeeb Daastaans,2021,6.7,142,4131
99 Songs,2019,7.4,128,1899
Lucifer,2019,7.5,175,8206
Dil Bechara,2020,6.6,101,117358
Shaadisthan,2021,6,94,184
Sherni,2021,,,
Race 3,2018,1.9,160,42420
The Girl on the Train,2021,4.4,120,7310
Ramprasad Ki Tehrvi,2019,7.6,115,3571
Mumbai Saga,2021,6.1,135,7292
Uri: The Surgical Strike,2018,8.2,138,45968
Good Newwz,2019,6.9,134,15643
K.G.F: Chapter 2,2021,,,
Article 15,2019,8.2,130,25697
Gully Boy,2019,8,154,33896
Super 30,2019,8,154,22993
Badla,2019,7.8,118,23886
Raat Akeli Hai,2020,7.3,149,15766
Bulbbul,2020,6.6,94,10139
Bhonsle,2018,7,128,1257
Sir,2018,7.7,99,5457
Zero,2018,5.4,164,24776
Stree,2018,7.6,128,29895
Saina,2021,4.2,135,3365
Nail Polish,2021,7.4,128,3733
Pad Man,2018,7.9,140,22608
Chhichhore,2019,8.3,143,38562
Kaagaz,2021,7.6,109,6736
The Big Bull,2021,6.1,153,11531
Roohi,2021,4.3,134,6416
Section 375,2019,8.1,124,13041
Sonchiriya,2019,8.1,143,9568
Kabir Singh,2019,7.1,173,27729
Malang,2020,6.5,135,8971
Nyay: The Justice,2021,,,
Badhaai Ho,2018,8,124,29515
Climax,2020,2,52,228
Padmaavat,2018,7,164,28570
War,2019,6.5,154,20890
Unpaused,2020,7,113,2057
Brahmastra,2021,,,
My Client's Wife,2020,6.2,106,666
Thugs of Hindostan,2018,4.1,164,18217
Vada Chennai,2018,8.5,164,13114
Bharat,2019,4.9,150,22569
Bhavesh Joshi Superhero,2018,7.6,154,7474
AK vs AK,2020,6.9,108,12427
Evil Eye,2020,4.7,90,2958
Sadak 2,2020,1.1,133,67774
Batla House,2019,7.2,146,10090
Angrezi Medium,2020,7.3,145,11698
Sooryavanshi,2021,,176,
Bala,2019,7.3,133,12367
Panipat,2019,5.3,171,4426
Milestone,2020,6.6,98,411
Bellbottom,2021,,130,
Gadera,2021,,125,
Welcome Home,2020,7.5,126,2410
Sanju,2018,7.7,155,49192
Lootcase,2020,7.6,132,15188
The Body,2019,5.4,101,2964
Serious Men,2020,6.8,114,6380
Taish,2020,7.5,143,3698
"I Am Alone, So Are You...",2019,6.5,117,896
The Sky Is Pink,2019,7.6,143,7683
Aiyaary,2018,5.3,157,4165
Lust Stories,2018,6.4,120,10009
October,2018,7.5,115,14011
Karwaan,2018,7.6,114,13983
Pathan,,,,
Kedarnath,2018,6.9,116,11439
2,2018,6.2,148,21933
Suraj Pe Mangal Bhari,2020,5.9,141,3009
83,2021,,150,
B.A. Pass 3,2021,8.3,136,1875
Blackmail,2018,7.1,138,9671
777 Charlie,,,136,
RRR,2021,,,
The Tashkent Files,2019,7.8,134,9574
Go Goa Gone 2,,,,
Ginny Weds Sunny,2020,5.7,125,3871
Hello Charlie,2021,5.6,102,3167
Luka Chuppi,2019,6.3,126,8807
Student of the Year 2,2019,2.2,146,17481
Madam Chief Minister,2021,4.6,130,1382
Kadakh,2019,7,108,1380
Dream Girl,2019,7,132,12274
Ghost Stories,2020,4.3,144,4619
Khuda Haafiz,2020,7.4,133,16139
Raazi,2018,7.8,138,26553
Coolie No. 1,2020,2.9,134,56224
Tanhaji: The Unsung Warrior,2020,7.6,135,22336
Ahaan,2019,7.2,81,213
Mrs. Serial Killer,2020,4.8,106,11530
Kesari,2019,7.4,150,15656
Chhalaang,2020,6.8,136,15829
Laxmii,2020,2.4,141,49158
Dabangg 3,2019,3,160,15792
Baaghi 3,2020,2.1,143,10306
Pari,2018,6.6,136,5897
Mardaani 2,2019,7.4,103,8197
Romeo Akbar Walter,2019,6.6,141,5118
GOLD,2018,7.3,151,11931
Time to Dance,2021,1.8,113,730
Notebook,2019,6.9,115,2252
Shershaah,2021,,,
Genius,2018,5.3,165,1821
Ganapath,2022,,,
Tribhanga,2021,6.1,95,2507
Marjaavaan,2019,3.6,152,3144
Thappad,2020,6.8,142,15060
Baazaar,2018,6.6,137,4829
Photograph,2019,6.9,110,4504
Chehre,2021,,,
Indoo Ki Jawani,2020,3,119,5030
Gunjan Saxena: The Kargil Girl,2020,5.3,112,25002
Mulk,2018,6.9,140,14156
Housefull 4,2019,3.5,145,10905
Hacked,2020,4.3,118,1208
Chintu Ka Birthday,2020,7.8,80,4062
Kaadan,2021,9.1,170,2219
Torbaaz,2020,6.8,133,5288
